img,label
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063811892_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063811892_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063812246_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063812246_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063812587_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063812587_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063812920_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063812920_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063813228_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063813228_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063813536_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063813536_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063813821_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063813821_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063814106_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063814106_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063814371_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063814371_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063814636_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063814636_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063814901_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063814901_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063815166_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063815166_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063815409_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063815409_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063815652_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063815652_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063815895_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063815895_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063816138_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063816138_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063816361_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063816361_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063816584_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063816584_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063816807_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063816807_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063817030_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063817030_Camera_5_bin.png
D:\Compressed\Road02\ColorImage_road02\ColorImage\Record001\Camera 5\170927_063817253_Camera_5.jpg,D:\Compressed\Gray_Label\Label_road02\Label\Record001\Camera 5\170927_063817253_Camera_5_bin.png
